Postcode District,All usual residents,Males,Females
BS8,26102,13596,12506
BS9,30953,14742,16211
CA1,24260,11872,12388
CA10,13623,6810,6813
CA11,22359,10994,11365
CA12,8026,3943,4083
CA13,15006,7371,7635
CA14,35799,17592,18207
CA15,16218,7992,8226
CA16,6175,3054,3121
CA17,4873,2421,2452
CA18,328,167,161
CA19,1069,554,515
CA2,39435,19176,20259
CA20,3355,1708,1647
CA21,1017,526,491
CA22,8887,4380,4507
CA23,1424,738,686
CA24,1266,664,602
CA25,6183,3091,3092
CA26,3868,1903,1965
CA27,1644,854,790
CA28,28592,14242,14350
CA3,14015,6753,7262
CA4,9679,4704,4975
CA5,7114,3520,3594
CA6,9094,4579,4515
CA7,22533,11023,11510
CA8,10314,5102,5212
CA9,2088,1013,1075
CB1,49238,24696,24542
CB10,13497,6740,6757
CB11,18047,8864,9183
CB2,18538,9777,8761
CB21,15626,7641,7985
CB22,24025,11838,12187
CB23,30885,15275,15610
CB24,33040,16339,16701
CB25,18264,9175,9089
CB3,16270,8168,8102
CB4,41898,21234,20664
CB5,11036,5661,5375
CB6,38375,18996,19379
CB7,26616,13239,13377
CB8,33241,17088,16153
CB9,32871,16315,16556
CH1,30560,14777,15783
CH2,34321,16664,17657
CH3,32010,15574,16436
CH4,32297,15848,16449
CH41,18667,9064,9603
CH42,31056,14934,16122
CH43,38916,18787,20129
CH44,29914,14652,15262
CH45,30855,14938,15917
CH46,25480,12243,13237
CH47,10909,5196,5713
CH48,15206,7237,7969
CH49,28777,13569,15208
CH5,42525,21088,21437
CH6,17118,8425,8693
CH60,13084,6260,6824
CH61,17590,8362,9228
CH62,28732,13913,14819
CH63,30597,14692,15905
CH64,18921,9094,9827
CH65,26371,12885,13486
CH66,35092,17104,17988
CH7,50066,24554,25512
CH8,20679,10290,10389
CM0,16003,7979,8024
CM1,62862,30813,32049
CM11,19001,9312,9689
CM12,19822,9672,10150
CM13,24494,11814,12680
CM14,19746,9575,10171
CM15,23406,11374,12032
CM16,22096,10639,11457
CM17,21296,10253,11043
CM18,24425,11746,12679
CM19,18811,9252,9559
CM2,58252,28777,29475
CM20,21400,10378,11022
CM21,10838,5349,5489
CM22,13232,6534,6698
CM23,40615,19875,20740
CM24,6669,3346,3323
CM3,54108,26797,27311
CM4,10181,4884,5297
CM5,10581,5178,5403
CM6,25184,12349,12835
CM7,48743,23919,24824
CM77,15395,7517,7878
CM8,32807,16052,16755
CM9,33525,16439,17086
CO1,14988,7384,7604
CO10,46329,22626,23703
CO11,12950,6283,6667
CO12,22215,10834,11381
CO13,12110,5628,6482
CO14,6735,3018,3717
CO15,43054,20355,22699
CO16,24196,11661,12535
CO2,35114,17943,17171
CO3,28117,13636,14481
CO4,48002,23527,24475
CO5,28199,13706,14493
CO6,28893,14108,14785
CO7,32953,16238,16715
CO8,2303,1138,1165
CO9,25260,12445,12815
CR0,154233,74943,79290
CR2,48467,23633,24834
CR3,28539,13790,14749
CR4,58802,28837,29965
CR5,28862,14045,14817
CR6,9843,4740,5103
CR7,44691,21459,23232
CR8,32545,15837,16708
CT1,30755,14971,15784
CT10,24903,11787,13116
CT11,29206,14226,14980
CT12,17826,8566,9260
CT13,8901,4281,4620
CT14,35056,16870,18186
CT15,13238,6575,6663
CT16,19623,9702,9921
CT17,22086,11086,11000
CT18,13909,6791,7118
CT19,28867,14001,14866
CT2,30718,14749,15969
CT20,22470,11691,10779
CT21,17147,8060,9087
CT3,17284,8409,8875
CT4,16633,8068,8565
CT5,33068,15699,17369
CT6,38563,18507,20056
CT7,11459,5358,6101
CT8,7338,3432,3906
CT9,43454,21186,22268
CV1,31181,16978,14203
CV10,49883,24466,25417
CV11,39428,19566,19862
CV12,31606,15442,16164
CV13,10714,5342,5372
CV2,63206,31071,32135
CV21,35590,17973,17617
CV22,35333,17284,18049
CV23,21836,11364,10472
CV3,63323,31228,32095
CV31,31530,16199,15331
CV32,32696,16193,16503
CV33,6103,3000,3103
CV34,31345,15553,15792
CV35,24609,11946,12663
CV36,9286,4457,4829
CV37,40998,19845,21153
CV4,33370,16506,16864
CV47,16967,8396,8571
CV5,45968,22814,23154
CV6,86522,42368,44154
CV7,28078,13791,14287
CV8,31031,15248,15783
CV9,21204,10453,10751
CW1,42379,20870,21509
CW10,14361,7099,7262
CW11,22615,11082,11533
CW12,29225,14400,14825
CW2,41120,20510,20610
CW3,9079,4421,4658
CW4,9378,4589,4789
CW5,29281,14273,15008
CW6,12160,5922,6238
CW7,31454,15250,16204
CW8,35290,17259,18031
CW9,33147,16499,16648
DA1,52687,25931,26756
DA10,6746,3348,3398
DA11,38059,18825,19234
DA12,47392,23371,24021
DA13,14449,7066,7383
DA14,21183,9820,11363
DA15,29427,14255,15172
DA16,35912,17340,18572
DA17,17104,8223,8881
DA18,4939,2397,2542
DA2,22994,11242,11752
DA3,16748,8084,8664
DA4,9062,4374,4688
DA5,20824,10234,10590
DA6,9846,4803,5043
DA7,35540,17121,18419
DA8,34559,16637,17922
DA9,13089,6622,6467
DE1,13807,7572,6235
DE11,43809,21789,22020
DE12,20462,10202,10260
DE13,40596,19674,20922
DE14,28844,14564,14280
DE15,24192,11812,12380
DE21,57016,27844,29172
DE22,46544,23113,23431
DE23,59900,29744,30156
DE24,54523,26748,27775
DE3,17008,8209,8799
DE4,33166,16359,16807
DE45,8676,4087,4589
DE5,22033,10830,11203
DE55,51224,25285,25939
DE56,40374,19838,20536
DE6,25593,12828,12765
DE65,23456,11611,11845
DE7,49916,24497,25419
DE72,20225,9808,10417
DE73,19052,9337,9715
DE74,11491,5762,5729
DE75,18713,9233,9480
DH1,49865,25044,24821
DH2,30427,14772,15655
DH3,25904,12454,13450
DH4,33471,16237,17234
DH5,19534,9434,10100
DH6,33392,16529,16863
DH7,41375,20183,21192
DH8,38551,18879,19672
DH9,36692,17959,18733
DL1,46371,22582,23789
DL10,18424,9195,9229
DL11,5308,2663,2645
DL12,12407,6229,6178
DL13,14158,7035,7123
DL14,37072,17857,19215
DL15,22497,11038,11459
DL16,19816,9745,10071
DL17,17672,8623,9049
DL2,16980,8297,8683
DL3,44712,21817,22895
DL4,9976,4856,5120
DL5,29340,14176,15164
DL6,15515,7677,7838
DL7,16218,8130,8088
DL8,18650,9216,9434
DL9,15859,9389,6470
DN1,8735,4741,3994
DN10,12086,5999,6087
DN11,28352,13674,14678
DN12,24119,11706,12413
DN14,46242,22767,23475
DN15,36603,18434,18169
DN16,31667,15454,16213
DN17,37188,18353,18835
DN18,11717,5691,6026
DN19,6282,3136,3146
DN2,24551,11948,12603
DN20,19187,9399,9788
DN21,37221,18206,19015
DN22,36086,18371,17715
DN3,30069,14671,15398
DN31,9619,4763,4856
DN32,30257,15324,14933
DN33,19538,9387,10151
DN34,19001,9165,9836
DN35,34561,16794,17767
DN36,19103,9344,9759
DN37,21745,10618,11127
DN38,3023,1467,1556
DN39,2846,1389,1457
DN4,53415,26254,27161
